KEY,neutral,angry,happy,sad,emocao_predominante,audio_valence
1_10004_u,0.03905537724494934,0.9609445929527283,5.6074003079720214e-11,2.68988512019952e-11,angry,-0.960944592923553
1_10009_u,1.0,2.992213143926392e-09,6.970840571440817e-12,1.6998834631576365e-11,neutral,-3.0022411379865277e-09
1_1001_u,0.9999992847442627,1.9942357099012042e-08,7.229610332615266e-07,2.738945355240663e-12,neutral,7.030159372171593e-07
1_1003_u,0.9909461736679077,3.89770382636101e-10,0.009053834713995457,4.1568784525658486e-10,neutral,0.009053833908537229
1_10190_u,5.9942901337040055e-12,1.0,5.170562871088802e-13,1.414197806168943e-13,angry,-0.9999999999996244
1_10462_u,1.0,2.5224763684078555e-12,8.565878908961544e-12,7.964675446947567e-11,neutral,-7.360335192892198e-11
1_10495_u,1.1442256170335341e-10,9.646140830543715e-11,1.0,6.773557409411879e-12,happy,0.999999999896765
1_10496_u,7.24936222162853e-11,0.9999945163726807,5.525820142793236e-06,4.455786000584494e-12,angry,-0.9999889905569936
1_105_u,2.206127815151948e-11,1.0,1.2051557668479873e-12,6.041758619009657e-14,angry,-0.9999999999988552
1_10748_u,0.004244523122906685,1.050856401896283e-09,0.9957555532455444,5.180155193684755e-10,happy,0.9957555516766725
1_10797_u,0.9705107808113098,1.570985297405514e-08,0.02948916144669056,3.163552975138373e-09,neutral,0.02948914257328461
1_10810_u,0.9999979734420776,2.0504146505118115e-06,2.2264416976724988e-09,8.454108073319144e-12,neutral,-2.0481966629222123e-06
1_10829_u,2.985995478654857e-11,3.237123347155091e-10,1.0,3.726890324129428e-12,happy,0.9999999996725608
1_10849_u,1.0,1.2196455867821698e-12,7.048643613227767e-11,1.75749870212627e-09,neutral,-1.6882319115807745e-09
1_10853_u,0.9999939203262329,6.054377990949433e-06,1.35375330737042e-11,3.5796530670206828e-12,neutral,-6.054368033069427e-06
1_10857_u,1.445363273511191e-11,2.2600822255358644e-11,1.0,5.332144014519313e-12,happy,0.999999999972067
1_10859_u,1.0,8.799522742408694e-12,5.268816199305304e-12,9.542237139337217e-11,neutral,-9.895307793647556e-11
1_10890_u,6.30683505420393e-09,5.029731631189804e-10,1.0,6.053784210036106e-12,happy,0.9999999994909731
1_10977_u,1.0,5.861156698871994e-11,4.79446734050204e-12,1.7249311354272656e-11,neutral,-7.106641100249056e-11
1_11006_u,3.961961425602567e-08,1.0,4.054769757802501e-13,1.4222921885381767e-12,angry,-1.0000000000010167
1_11021_u,1.7505850935517486e-11,1.0,2.8954718397228296e-12,7.057175617540892e-14,angry,-0.9999999999971751
1_11042_u,1.239018262988445e-11,8.304354426336147e-10,1.0,1.1029602578482844e-11,happy,0.999999999158535
1_11046_u,1.0,4.96172872753442e-13,4.6960497712689175e-09,2.3666935078381357e-08,neutral,-1.8971381479985193e-08
1_11051_u,1.0,6.080698553186104e-13,5.08137754096083e-10,1.3303925738838984e-09,neutral,-8.228628896431341e-10
1_11055_u,8.018654074071208e-10,1.0,1.141922290059938e-08,2.933884960063665e-13,angry,-0.9999999885810704
1_11098_u,3.192733230572564e-11,1.3608064675096898e-10,1.0,5.526466437255628e-12,happy,0.9999999998583929
1_11120_u,6.489159765088459e-10,1.0,4.1527946446212605e-13,5.560559540487668e-14,angry,-0.9999999999996402
1_11177_u,0.9990610480308533,4.4009682009793494e-10,0.0009389109909534454,7.374397203996352e-10,neutral,0.0009389098134169049
1_11201_u,1.0,4.24835080309327e-12,7.253091356684838e-12,5.0181917649050334e-11,neutral,-4.7177177095458767e-11
1_11224_u,1.0,6.768413954305608e-13,7.035255711329569e-10,2.977717850072281e-09,neutral,-2.274869120334755e-09
1_11232_u,9.09292172807108e-12,5.191194141218602e-10,1.0,4.1119316285254115e-11,happy,0.9999999994397613
1_11236_u,5.4039264382743646e-12,1.4311745566431e-08,1.0,4.7909111573762875e-12,happy,0.9999999856834635
1_11242_u,1.2413742776773429e-11,1.0,1.1382010889349203e-09,4.1453873753788395e-13,angry,-0.9999999988622135
1_11243_u,0.9999998807907104,1.3603269621853542e-07,5.023044025165291e-08,7.911496111012717e-12,neutral,-8.581016746299353e-08
1_11253_u,8.181511024218935e-12,1.0,2.5906756124030594e-13,1.32464961851049e-13,angry,-0.9999999999998735
1_11257_u,1.0,1.9140164713576935e-12,2.734998338915773e-10,3.746578047802984e-11,neutral,2.3412003694218975e-10
1_11306_u,8.608652679598094e-10,1.623478478388063e-12,2.1130561189686148e-10,1.0,sad,-0.9999999997903177
1_11322_u,0.9999977350234985,2.268900516355643e-06,3.90073806588731e-11,1.2341685833028304e-11,neutral,-2.268873850660817e-06
1_11378_u,1.0,3.2033575011330973e-12,8.825104709508924e-12,1.3534291742889337e-10,neutral,-1.2972117022051755e-10
1_11439_u,1.469476984539142e-08,1.0,2.7140415565993226e-13,8.443224418230866e-14,angry,-0.9999999999998129
1_1144_u,1.4545227002005223e-11,1.0,3.6715960133326675e-12,6.44052682279711e-14,angry,-0.9999999999963928
1_11485_u,1.0,6.448941641118422e-12,8.126144722397921e-12,2.115813600711558e-11,neutral,-1.948093292583608e-11
1_11526_u,1.6616430453808562e-11,1.0,5.475439979890639e-13,7.992496502953403e-14,angry,-0.9999999999995324
1_11529_u,5.2556705515405255e-11,1.0,1.6694435276461833e-13,7.864023288898375e-14,angry,-0.9999999999999116
1_11609_u,8.398362183470454e-07,0.999545156955719,0.0004539404471870512,6.557542269608474e-12,angry,-0.9990912165150895
1_11697_u,1.266230089530529e-11,1.0,2.923511313677324e-13,1.31330872826102e-13,angry,-0.9999999999998389
1_11699_u,1.5829228205976875e-10,2.1387908805126088e-11,1.0,6.683734728868407e-12,happy,0.9999999999719283
1_11723_u,6.215943558485204e-12,1.0,5.735367150823401e-13,9.637445328542979e-14,angry,-0.9999999999995228
1_11736_u,4.1214715668091984e-11,1.0,1.4641296530205905e-13,1.021690531114415e-13,angry,-0.9999999999999557
1_11773_u,1.0,4.036770570592374e-11,2.2037349375891857e-11,1.6526412183193173e-11,neutral,-3.4856768513225056e-11
1_1180_u,7.05918830334884e-12,1.0,2.275402609386301e-11,9.26293885887032e-14,angry,-0.9999999999773386
1_1185_u,0.9999998807907104,3.3554168016140806e-13,1.4165790673814627e-07,1.7496184501197831e-09,neutral,1.3990795274634632e-07
1_11885_u,1.2049644615430566e-09,1.0924896542974238e-07,0.9999998807907104,1.2957647177458398e-09,happy,0.9999997702459803
1_11889_u,5.782139524124208e-12,1.0,5.869081804756038e-13,1.7314295342515246e-13,angry,-0.9999999999995863
1_1189_u,1.0,1.890830425566037e-08,9.966540396796897e-13,4.8206829153518704e-12,neutral,-1.891212828453604e-08
1_11901_u,1.2066191795723213e-11,0.9999998807907104,8.806071605249599e-08,1.1430552684932316e-12,angry,-0.9999997927311375
1_11913_u,1.0,1.2117577774528598e-11,5.210614925643675e-11,3.673404636028721e-11,neutral,3.2545251216209437e-12
1_11924_u,1.0,9.373660875278134e-11,3.668571956633171e-12,1.065538716288339e-11,neutral,-1.0072342395903155e-10
1_11928_u,0.7489575743675232,2.4427023163298145e-05,0.2510179877281189,3.1841951297906235e-09,neutral,0.25099355752076047
1_12002_u,0.008632245473563671,5.553914661504677e-07,0.9913671612739563,1.8096252274446556e-10,happy,0.9913666057015276
1_12083_u,1.9730910238990873e-08,4.338583745738811e-12,1.0,4.102343117984297e-11,happy,0.999999999954638
1_12202_u,7.897731947592579e-12,1.0,2.1786173559634747e-11,1.1373069369949307e-13,angry,-0.9999999999783276
1_12275_u,1.7780680039436447e-08,9.074406989384443e-06,0.9999909400939941,2.6661393578986115e-11,happy,0.9999818656603434
1_12320_u,2.070671585585604e-11,8.660741568355945e-11,1.0,5.0763347518578694e-12,happy,0.9999999999083162
1_12331_u,0.9999998807907104,1.1036548386300638e-07,1.9533954315198443e-11,9.302797247812133e-13,neutral,-1.1034688018841596e-07
1_1262_u,1.7663427664960096e-10,1.0,3.4664923709293305e-11,1.4661779819749587e-13,angry,-0.9999999999654816
1_1296_u,3.078091781461012e-09,0.9949669241905212,0.005033056251704693,5.642953326834288e-10,angry,-0.9899338685031118
1_1466_u,1.0,1.0607828634587313e-12,4.2416247597598655e-11,4.3538141841770184e-11,neutral,-2.1826771076302598e-12
1_1470_u,2.8717349778162315e-05,1.9283703522887663e-07,0.9999710321426392,9.322414368240217e-11,happy,0.9999708392123798
1_1478_u,1.0,9.121283372701128e-13,3.9383732386433223e-11,1.8240296772997766e-10,neutral,-1.4393136368081455e-10
1_1484_u,5.8298240367127274e-12,1.0,3.574174376602679e-13,1.1471390243961155e-13,angry,-0.9999999999997574
1_1549_u,0.9361234903335571,0.06387659162282944,1.5563473843016595e-09,2.0166212449934662e-11,neutral,-0.06387659008664827
1_1560_u,1.9997046365460847e-06,0.9999979734420776,2.4086902177672398e-12,2.0012886747106107e-13,angry,-0.9999979734398691
1_162_u,1.0,3.168059076793378e-13,2.335859283775221e-10,2.7407479064045503e-10,neutral,-4.080566817061225e-11
1_1627_u,6.058142182352455e-11,4.909030959510119e-10,1.0,5.029400073491841e-12,happy,0.9999999995040675
1_1638_u,0.00010925439710263163,0.9998906850814819,2.2284744882750118e-10,4.615346191165492e-13,angry,-0.999890684859096
1_1666_u,3.419323504894045e-11,1.0,5.975022126375462e-12,3.997573011006207e-14,angry,-0.999999999994065
1_1678_u,0.9997096657752991,0.0002903158019762486,1.938980746796215e-11,1.7395336907033432e-11,neutral,-0.00029031579998177806
1_1722_u,1.0,1.1061300764225734e-09,1.833529422040625e-12,7.332390770942165e-12,neutral,-1.111628937771475e-09
1_1732_u,1.0022361413009051e-11,1.0,2.8125501060072278e-12,1.0028355777085343e-13,angry,-0.9999999999972878
1_175_u,6.891582597745582e-05,1.835129825877857e-10,0.9999310970306396,6.641812100305344e-11,happy,0.9999310967807086
1_1772_u,9.734964570573545e-12,6.005385078111658e-10,1.0,3.690383502258365e-12,happy,0.9999999993957711
1_1798_u,9.576747381223605e-12,1.0,5.261904193615274e-13,1.4496604329276852e-13,angry,-0.9999999999996187
1_1803_u,1.0,1.7226550047544364e-12,1.719402745181675e-11,8.614857438526968e-11,neutral,-7.067720193820737e-11
1_182_u,5.732361252341889e-10,4.118937431485392e-05,0.9999587535858154,2.1759488308403796e-11,happy,0.9999175641897411
1_1931_u,2.305536739299896e-08,1.2558361017767083e-09,1.0,8.675185569906319e-12,happy,0.9999999987354887
1_1973_u,1.0,7.505138004126888e-13,4.3139733452157714e-10,2.2861749993108305e-10,neutral,2.020293207900814e-10
1_1987_u,3.4378615509922383e-08,7.2275683216105335e-09,1.0,2.380375410671043e-11,happy,0.9999999927486279
1_2075_u,6.668123120334712e-08,0.9999998807907104,1.613941966183141e-11,1.272467781100392e-13,angry,-0.9999998807746983
1_2119_u,0.11637859046459198,2.2321254566914916e-10,0.8836185336112976,2.869642685254803e-06,happy,0.8836156637453998
1_213_u,5.642058868715605e-12,1.0,5.617551779649177e-13,1.356875224158005e-13,angry,-0.9999999999995739
1_2198_u,0.014379734173417091,0.985619306564331,9.405462151335087e-07,1.0265480687721151e-09,angry,-0.985618367044664
1_2216_u,0.9999938011169434,6.238836249394808e-06,1.6435212565890644e-11,3.483928206690634e-12,neutral,-6.238823298110449e-06
1_2354_u,1.0,6.5201078043586325e-12,6.389596317324386e-12,5.644730863285652e-11,neutral,-5.6577820119890765e-11
1_2361_u,3.240025261974644e-11,1.0,2.372966267927268e-09,9.145951140529518e-13,angry,-0.9999999976279483
1_2420_u,1.0,2.6174581165688826e-12,1.146993524464568e-11,2.5739724240914086e-10,neutral,-2.4854476528106406e-10
1_2423_u,1.0,2.2515499881192724e-11,3.4325279164165723e-12,3.858229707942584e-11,neutral,-5.7665269044201994e-11
1_2464_u,1.437332978332373e-11,7.0130763175912936e-12,1.0,3.757792688130479e-11,happy,0.999999999955409
1_2575_u,8.074292345838785e-09,1.0,3.4821345568265827e-13,6.565801640443306e-14,angry,-0.9999999999997176
