SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_11042,1_11042_u,"Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.",0:07,BERNADETTE,BBT,0.0,NONE,Sadness,Sadness,3.0,7.0
1_11098,1_11098_u,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",0:09,BERNADETTE,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
1_11232,1_11232_u,"And I love that I work and do all the cleaning, and you're okay with that.",0:06,BERNADETTE,BBT,1.0,PRO,Anger,Happiness,3.0,8.0
1_11242,1_11242_u,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",0:09,BERNADETTE,BBT,1.0,EMB,Anger,Happiness,2.0,8.0
1_11889,1_11889_u,"Yeah, we just want to have the kind of dinner that we've all had here so many times before.",0:04,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,7.0,7.0
1_3348,1_3348_u,"Raj, you should've seen Leonard's experiment. The interference pattern was so cool when the electron beam was on.",0:2,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,4.0,6.0
1_5751,1_5751_u,Of course you do. You're a cutie pie! Any girl would be lucky to have you!,0:06,BERNADETTE,BBT,0.0,NONE,Anger,Anger,3.0,8.0
1_6039,1_6039_u,I don't know what I'm going to do. I don't want to break up over this.,0:05,BERNADETTE,BBT,0.0,NONE,Sadness,Sadness,3.0,7.0
1_6221,1_6221_u,"Well, if you don't mind looking like an orange traffic cone, great.",0:04,BERNADETTE,BBT,1.0,PRO,Frustration,Neutral,4.0,6.0
1_7089,1_7089_u," Yeah, we, uh, made gift bags, had wine, and then went online and saw this.",0:1,BERNADETTE,BBT,1.0,PRO,Anger,Happiness,3.0,7.0
1_8185,1_8185_u,We could go to Red Lobster and talk about it. We're all thinking it. I just had the decency to wait for him to leave.,0:1,BERNADETTE,BBT,0.0,NONE,Anger,Anger,3.0,7.0
1_8717,1_8717_u,Because you're in the right lane behind a bus and you won't go around it? I'm sure she finds it charming.,0:07,BERNADETTE,BBT,1.0,PRO,Anger,Happiness,3.0,7.0
1_S09E03_135,1_S09E03_135_u,You guys still aren't living together?,0:02.100000,BERNADETTE,BBT,0.0,NONE,Surprise,Surprise,3.0,7.0
1_S09E04_053,1_S09E04_053_u,"Well, why don't you look at this as an opportunity? You had other roommates before Leonard. Maybe this is a chance to find someone new.",0:08.373000,BERNADETTE,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_S09E05_258,1_S09E05_258_u,What can it hurt?,0:01.126000,BERNADETTE,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E12_184,1_S09E12_184_u,(CHUCKLES) Yeah. A grown man moving into his own apartment. It's crazy times. See ya!,0:6.339,BERNADETTE,BBT,1.0,EMB,Disgust,Happiness,3.0,6.0
1_S10E03_144,1_S10E03_144_u,"Oh, I was gonna start at the end. Thank God you're here.",0:4.375999,BERNADETTE,BBT,1.0,ILL,Frustration,Happiness,3.0,8.0
1_S10E03_154,1_S10E03_154_u,"This was the husband and this was the wife. They'd go out on adventures together. Cruises, skiing, horseback riding. That was really me just duct taping them to our dog.",0:11.333000,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_S10E04_277,1_S10E04_277_u,I was disappointed to see the man I was engaged to pulling rainbow scarves out of his fly.,0:05.436000,BERNADETTE,BBT,0.0,NONE,Anger,Anger,4.0,7.0
1_S10E04_343,1_S10E04_343_u,"Well, now I don't know if I want to know!",0:02.300000,BERNADETTE,BBT,0.0,NONE,Frustration,Frustration,5.0,7.0
1_S10E04_361,1_S10E04_361_u,Wait. Wrong number.,0:02.700000,BERNADETTE,BBT,0.0,NONE,Fear,Fear,5.0,7.0
1_S10E05_110,1_S10E05_110_u,The only thing I hate more than you right now is that book!,0:03.967000,BERNADETTE,BBT,0.0,NONE,Anger,Anger,3.0,7.0
1_S10E13_095,1_S10E13_095_u,"I've been seeing him for years, I'm still not convinced he's real.",0:5.771999,BERNADETTE,BBT,1.0,ILL,Ridicule,Sadness,3.0,8.0
1_S10E14_032,1_S10E14_032_u,"So, normal. Yeah--",0:1.902000,BERNADETTE,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
1_S10E17_146,1_S10E17_146_u,"Oh, dear god, you're cheating on me with raj.",0:3.503,BERNADETTE,BBT,1.0,PRO,Ridicule,Anger,3.0,8.0
1_S11E02_299,1_S11E02_299_u,Tell me about it. Howie texts me every time his dog levels up in Warcraft.,0:05.230000,BERNADETTE,BBT,0.0,NONE,Frustration,Frustration,3.0,7.0
1_S11E03_067,Disgust,I'm not setting her up with Raj.,0:02.430000,BERNADETTE,BBT,0.0,NONE,Disgust,Disgust,4.0,5.0
1_S11E04_024,1_S11E04_024_u,I already have a little version of Howard.,0:3.230000,BERNADETTE,BBT,1.0,PRO,Sadness,Neutral,3.0,7.0
1_S11E04_137,1_S11E04_137_u,"""Daddy's little girl""?",0:02.930000,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S11E04_298,1_S11E04_298_u,"No, I'm fine.",0:01.520000,BERNADETTE,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E05_193,1_S11E05_193_u,I thought his work wife was standing in my kitchen.,0:2.400000,BERNADETTE,BBT,1.0,PRO,Ridicule,Neutral,3.0,7.0
1_S11E05_343,1_S11E05_343_u,"At least he can still clean the oven, so that's something.",0:02.940000,BERNADETTE,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E05_402,1_S11E05_402_u,"Oh, my God, you're still here?",0:02.410000,BERNADETTE,BBT,0.0,NONE,Surprise,Surprise,6.0,7.0
1_S11E06_102,1_S11E06_102_u,"No, he is saying how can these prices be so low?",0:0.999999,BERNADETTE,BBT,1.0,ILL,Anger,Excitement,3.0,8.0
1_S11E07_405,1_S11E07_405_u,And she still doesn't.,0:02.770000,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S11E13_362,1_S11E13_362_u,Did it work?,0:2.335,BERNADETTE,BBT,1.0,ILL,Anger,Neutral,4.0,7.0
1_S11E16_170,1_S11E16_170_u,You're right. That's so much better.,0:3.804000,BERNADETTE,BBT,1.0,ILL,Frustration,Excitement,4.0,7.0
1_S11E21_201,1_S11E21_201_u,"I'll go to dinner, and you can stay home with the Internet and have romance.",0:3.939999,BERNADETTE,BBT,1.0,EMB,Ridicule,Neutral,4.0,8.0
1_S11E23_048,1_S11E23_048_u,"Ooh, now it's starting to sound like a good wedding.",0:2.770000,BERNADETTE,BBT,1.0,PRO,Ridicule,Happiness,3.0,7.0
1_S12E01_150,1_S12E01_150_u,You want to say it? You can say it.,0:02.567000,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,6.0,5.0
1_S12E02_006,1_S12E02_006_u,"I told you, I'm not okay with it.",0:02.468000,BERNADETTE,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E03_195,1_S12E03_195_u,"You'’re right, you'’ve got Leonard. What more do you need?",0:5.004999,BERNADETTE,BBT,1.0,PRO,Ridicule,Neutral,3.0,8.0
1_S12E04_046,1_S12E04_046_u,"Well, it's hard to say, not knowing much about her. Does she have fingers?",0:4.103999,BERNADETTE,BBT,1.0,PRO,Ridicule,Surprise,3.0,8.0
1_S12E04_195,1_S12E04_195_u,"She can get into any restaurant, but the best husband she can find is Raj?",0:5.872,BERNADETTE,BBT,1.0,EMB,Disgust,Neutral,3.0,7.0
1_S12E05_083,1_S12E05_083_u,And it's gone.,0:02.033000,BERNADETTE,BBT,0.0,NONE,Disgust,Disgust,3.0,6.0
1_S12E06_171,1_S12E06_171_u,"Oh, come on. It was all in good fun.",0:01.934000,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S12E06_367,1_S12E06_367_u,"What do you want, Sheldon?",0:02.100000,BERNADETTE,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E07_179,1_S12E07_179_u,"Yeah, sure. You slept with your husband.",0:02.033000,BERNADETTE,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E08_258,1_S12E08_258_u,You can do that but you still can't get my bra off.,0:5.237999,BERNADETTE,BBT,1.0,PRO,Ridicule,Sadness,2.0,8.0
1_S12E11_216,1_S12E11_216_u,Maybe she doesn't have tip money?,0:2.036000,BERNADETTE,BBT,1.0,PRO,Ridicule,Neutral,2.0,7.0
1_S12E12_030,1_S12E12_030_u,"Yeah, so impressive how you manage to bounce back after having no babies.",0:5.266,BERNADETTE,BBT,1.0,EMB,Anger,Happiness,2.0,8.0
1_S12E12_086,1_S12E12_086_u,Leonard was just saying how he was hoping to have dinner with one of your ex-boyfriends on his expensive boat.,0:5.614000,BERNADETTE,BBT,1.0,ILL,Ridicule,Happiness,2.0,8.0
1_S12E15_154,1_S12E15_154_u,"Well, it is important for you two to keep the spark alive.",0:3.67,BERNADETTE,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
2_102,2_102_u,No Blanche she is upset because they keep changing the taste of coke.,0:08,DOROTHY,GOLDENGIRLS,1.0,PRO,Frustration,Neutral,3.0,7.0
2_11,2_11_u,His cappucino maker.,0:1,DOROTHY,GOLDENGIRLS,1.0,ILL,Frustration,Neutral,4.0,7.0
2_111,2_111_u,What was that?!,0:01,RACHEL,FRIENDS,0.0,NONE,Surprise,Surprise,6.0,6.0
2_118,2_118_u,"Seriously, it's moving!",0:01,RACHEL,FRIENDS,0.0,NONE,Surprise,Surprise,7.0,7.0
2_121,2_121_u,What was I doing? My ben gazara in person?,0:02,DOROTHY,GOLDENGIRLS,1.0,PRO,Anger,Neutral,4.0,6.0
2_126,2_126_u,No I am upset because Joe Piscapo didn't get the lead role in rain man.,0:04,DOROTHY,GOLDENGIRLS,1.0,ILL,Anger,Neutral,3.0,7.0
2_129,2_129_u,What are these? Claws?,0:03,DOROTHY,GOLDENGIRLS,1.0,ILL,Anger,Surprise,3.0,7.0
2_13,2_13_u,"All right, let's do it.",0:02,RACHEL,FRIENDS,0.0,NONE,Excitement,Excitement,7.0,8.0
2_135,2_135_u,"No, she I supset because Jimmy Swaager can't cover his motel bill",0:07,DOROTHY,GOLDENGIRLS,1.0,ILL,Frustration,Sadness,3.0,7.0
2_144,2_144_u,Lords of Arabia,0:03,DOROTHY,GOLDENGIRLS,1.0,ILL,Frustration,Neutral,3.0,7.0
2_146,2_146_u,"So Ross, how umm, how did it go with Bonnie?",0:03,PHOEBE,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
2_154,2_154_u,"Okay, does this look like a garbage can to you?",0:04,PHOEBE,FRIENDS,0.0,NONE,Anger,Anger,4.0,6.0
2_158,2_158_u,A bucket of chicked. I hope you like it extra flat and crispy,0:11,DOROTHY,GOLDENGIRLS,1.0,ILL,Frustration,Excitement,3.0,8.0
